REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEOGRY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_DHRE_NORM12,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE TO HOME - RANDOM EFFECTS FIRST NORMALIZATION SUB SCALED,Discharge to Home - Random Effects First Normalization Sub Scaled (Outcomes),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_DHRE_BAND,DISCHARGE TO HOME - RANDOM EFFECTS,BAND,Discharge to Home Band (Outcomes),Performance band assigned for Discharge To Home - Random Effects in the Cancer specialty (Outcomes domain).,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_DHRE_D2HSCR,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE TO HOME OVERALL SCORE (USED FOR SPECIALTY SCORE),Discharge to Home Overall Score (used for specialty score) (Outcomes),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_DHRE_D2HSCR,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE TO HOME OVERALL SCORE (USED FOR SPECIALTY SCORE),Discharge to Home Overall Score (used for specialty score) (Outcomes),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_DHRE_SCORE,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE TO HOME SCORE,Discharge to Home Score (Outcomes),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_DHRE_SCORE,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE TO HOME SCORE,Discharge to Home Score (Outcomes),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_DHRE_SCORE,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE TO HOME SCORE,Discharge to Home Score (Outcomes),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_DHRE_PRED,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE-TO-HOME PREDICTED VALUE (FEE-FOR-SERVICE DATA),Discharge-to-Home Predicted Value (Fee-for-Service Data) (Outcomes),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_DHRE_PRED,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE-TO-HOME PREDICTED VALUE (FEE-FOR-SERVICE DATA),Discharge-to-Home Predicted Value (Fee-for-Service Data) (Outcomes),N/A,DECIMAL_2,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_DHRE_SE,DISCHARGE TO HOME - RANDOM EFFECTS,DISCHARGE-TO-HOME RANDOM EFFECT STANDARD ERROR (FEE-FOR-SERVICE DATA),Discharge-to-Home Random Effect Standard Error (Fee-for-Service Data) (Outcomes),N/A,DECIMAL_2,LOWER,,,,,
