REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HEART BYPASS SURGERY,,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,AORTIC VALVE SURGERY,,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,BACK SURGERY (SPINAL FUSION),,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HEART ATTACK,,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HIP FRACTURE,,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HIP REPLACEMENT,,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,KNEE REPLACEMENT,,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,"LEUKEMIA, LYMPHOMA, AND MYELOMA",,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,LUNG CANCER SURGERY,,30-DAY READMISSIONS BAND (OUTCOMES),,30-Day Readmissions Band (Outcomes),,,STRING,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HEART BYPASS SURGERY,,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,AORTIC VALVE SURGERY,,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,BACK SURGERY (SPINAL FUSION),,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HEART ATTACK,,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HIP FRACTURE,,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,HIP REPLACEMENT,,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,KNEE REPLACEMENT,,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2023,2023-2024,MEASURE,"LEUKEMIA, LYMPHOMA, AND MYELOMA",,30-DAY READMISSIONS ODDS RATIO (OUTCOMES),,30-Day Readmissions Odds Ratio (Outcomes),,,DECIMAL_2,LOWER,,,,
