REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PERCENTAGE_OF_MEDICARE_PATIENTS_WHO_HAD_MEDICARE_ADVANTAGE,PERCENTAGE OF MEDICARE PATIENTS WHO HAD MEDICARE ADVANTAGE,PERCENTAGE OF MEDICARE PATIENTS WHO HAD MEDICARE ADVANTAGE (OUTCOMES),Percentage of Medicare Patients Who Had Medicare Advantage (Outcomes),Percentage of the hospital's Medicare patients enrolled in Medicare Advantage.,,PERCENT_0,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PREVENTION_OF_OUTPATIENT_PROCEDURAL_COMPLICATIONS,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS (OUTCOMES),Prevention of Outpatient Procedural Complications (Outcomes),Avoiding preventable complications after outpatient procedures.,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PREVENTION_OF_OUTPATIENT_PROCEDURAL_COMPLICATIONS_BAND,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS BAND (OUTCOMES),Prevention of Outpatient Procedural Complications Band (Outcomes),Categorical performance band for avoiding preventable complications after outpatient procedures.,,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PREVENTION_OF_OUTPATIENT_PROCEDURAL_COMPLICATIONS_RATIO,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS RATIO (OUTCOMES),Prevention of Outpatient Procedural Complications Ratio (Outcomes),Observed-to-expected ratio of preventable complications after outpatient procedures.,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PREVENTION_OF_OUTPATIENT_PROCEDURAL_COMPLICATIONS_SCORE,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS,PREVENTION OF OUTPATIENT PROCEDURAL COMPLICATIONS SCORE (OUTCOMES),Prevention of Outpatient Procedural Complications Score (Outcomes),Points contributed to the U.S. News score for avoiding preventable complications after outpatient procedures.,,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_BAND,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS BAND (OUTCOMES),Prolonged Hospitalizations Band (Outcomes),Categorical performance band for avoiding an unexpectedly long hospital stay.,,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_DENOMINATOR,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS DENOMINATOR (OUTCOMES),Prolonged Hospitalizations Denominator (Outcomes),Number of eligible cases (denominator) for avoiding an unexpectedly long hospital stay.,,DECIMAL_0,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_DENOMINATOR,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS DENOMINATOR (OUTCOMES),Prolonged Hospitalizations Denominator (Outcomes),Number of eligible cases (denominator) for avoiding an unexpectedly long hospital stay.,,DECIMAL_0,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_EVENT_COUNT,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS EVENT COUNT (OUTCOMES),Prolonged Hospitalizations Event Count (Outcomes),Observed event count for avoiding an unexpectedly long hospital stay.,,DECIMAL_0,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_PROLONGED_HOSPITALIZATIONS_EVENT_COUNT,PROLONGED HOSPITALIZATIONS,PROLONGED HOSPITALIZATIONS EVENT COUNT (OUTCOMES),Prolonged Hospitalizations Event Count (Outcomes),Observed event count for avoiding an unexpectedly long hospital stay.,,DECIMAL_0,LOWER,,,,
